algo,momentum,volatility,ratio
1CIXs,0.04365492811002292,0.024155080289966033,1.807277292642951
13uNN,0.08469896686854295,0.05039809032873407,1.6805987353106613
0hQUx,0.07290143316759279,0.046259018615315346,1.5759398999324365
2HPMi,0.06523107040481024,0.046385100033235684,1.4062936235573733
1334m,0.1458132820019249,0.10612731019900888,1.373946835442237
2SVSw,0.14075235109717865,0.10511092975289163,1.339083874798534
1ce4F,0.13931421177485448,0.1121665835963563,1.2420295537946657
2AxQV,0.0701605433775856,0.05660060317760797,1.2395723621076558
0KJhh,0.03378248315688159,0.028326436907800717,1.1926132208875997
1ATIg,0.16593454864924229,0.14248662426430617,1.164562284396894
2Zc0n,0.038245219347581516,0.03459471056304699,1.1055221658201668
0mCK0,0.08131241084165475,0.0737627590962036,1.10235045215167
2zRa0,0.08402003554693827,0.07698731868776557,1.0913490296719517
2EnQY,0.004929090280179738,0.004581567762398807,1.0758523142739627
0xwd3,0.04633812457221098,0.04419947955281994,1.0483862036618616
1OQmq,0.03460686600221474,0.03304764143578834,1.0471811148597694
29lX0,0.04498917109667255,0.04554865303458862,0.9877168280367982
03nV1,0.06320722368270659,0.06618197560438799,0.9550519322743795
2ftEP,0.06683587140439928,0.0709462165747205,0.9420639271723221
0NQ0k,0.08559306401033018,0.093329322829253,0.917107950809025
